Domain_Name,Organization_Name
112.gov.in,Emergency Response Support System with a single emergency number 112
7cpc.india.gov.in,"Seventh Central Pay Commission, New Delhi"
aaad.gov.in,"Aid Accounts and Audit Division, New Delhi"
aaccc.gov.in,"AYUSH Admissions Central Counseling Committee (AACCC), Ministry of AYUSH"
aai.aero,Airports Authority of India (AAI)
aaib.gov.in,"Aircraft Accident Investigation Bureau (AAIB), India"
aajeevika.gov.in,National Rural Livelihoods Mission (NRLM) - Aajeevika
abnhpm.gov.in,"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY), National Health Protection Mission (NHPM)"
acabcmis.gov.in,Agri-Clinics and Agri-Business Centres Scheme by Ministry of Agriculture & Farmers Welfare
accessibleindia.gov.in,Accessible India Campaign (Sugamya Bharat Abhiyan)
accmumbai.gov.in,"Commissioner of Customs, Air Cargo, Mumbai"
accountingonline.gov.in,PRIASoft - Panchayati Raj Institutions Accounting Software
aces.gov.in,"Automation Of Central Excise and Service Tax, ACES"
acesdownload.nic.in,"Automation of Central Excise and Service Tax, Central Board of Excise and Customs (CBEC)"
actrec.gov.in,"Advanced Centre for Treatment, Research and Education in Cancer (ACTREC), Tata Memorial Centre"
acy.bsf.gov.in,"Border Security Force Academy, Madhya Pradesh"
ada.gov.in,"Aeronautical Development Agency, Ministry of Defence"
adgenez.gov.in,"Prasar Bharati - Additional Director General (E) (North East Zone), Guwahati"
aecs1jaduguda.nic.in,"Atomic Energy Central School - I, Jaduguda, Jharkhand"
aecs4rbt.nic.in,"Atomic Energy Central School No.4, Rawatbhata, Rajasthan"
aecsanupuram.tn.nic.in,"Atomic Energy Central School, Anupuram. Tamil Nadu"
aecsmum2.ac.in,"Atomic Energy Central School No 2, Anushaktinagar, Mumbai"
aecsmum3.ac.in,"Atomic Energy Central school No.3, Mumbai"
aecsmum4.ac.in,"Atomic Energy Central School - 4, Mumbai"
aecsmum6.ac.in,"Atomic Energy Central school 6, Mumbai"
aecsnarwapahar.nic.in,"Atomic Energy Central School, Narwapahar, Jharkhand"
aecsrbt2.nic.in,"Atomic Energy Central School No.2, Rawatbhata, Chittorgarh, Rajasthan"
aecstar1.ac.in,"Atomic Energy Central School No.1 and Junior College, Tarapur, Thane, Maharashtra"
aecstar2.ac.in,"Atomic Energy Central School No - 2, Tarapur, Maharashtra"
aecsturamdih.nic.in,"Atomic Energy Central School, Turamdih, Jharkhand"
aees.gov.in,Atomic Energy Education Society (AEES)
aejcmumbai.ac.in,"Atomic Energy Junior College (AEJC), Mumbai"
aeoindia.gov.in,"Authorised Economic Operator (AEO) Programme, Indian Customs"
aera.gov.in,Airports Economic Regulatory Authority (AERA)
aerb.gov.in,Atomic Energy Regulatory Board (AERB)
aeroindia.gov.in,"Aero India Show 2019, 20-24 Feb 2019, Bengaluru"
afk.gov.in,"Ammunition Factory, Khadki (AFK)"
afmc.nic.in,Armed Forces Medical College (AFMC)
aftkolkata.nic.in,"Armed Forces Tribunal, Kolkata Bench, Kolkata"
aftrbghy.nic.in,"Armed Forces Tribunal, Regional Bench, Guwahati"
ag36g.cag.gov.in,"Accountant General, Chhattisgarh"
agaeapts.gov.in,"Office of The Principal Accountant General (A & E), Andhra Pradesh & Telangana"
agap.cag.gov.in,"Accountant General, Andhra Pradesh and Telangana"
agasm.cag.gov.in,"Official Web site of Accountants General, Assam"
agaudelhi.cag.gov.in,"Principal Accountant General, Delhi"
agbihar.cag.gov.in,"Accountant General, Bihar"
agcensus.nic.in,"Agricultural Census, New Delhi"
aggoa.cag.gov.in,"Accountant General, Goa"
agguj.cag.gov.in,"Accountant General, Gujarat"
aghp.cag.gov.in,"Accountant General, Himachal Pradesh"
aghr.cag.gov.in,"Accountant General, Haryana"
agjh.cag.gov.in,"Accountant General, Jharkhand"
agjk.cag.gov.in,"Accountant General, Jammu and Kashmir"
agkar.cag.gov.in,"Accountant General, Karnataka"
agker.cag.gov.in,"Accountant General, Kerala"
agmaha.cag.gov.in,"Accountant General, Maharashtra"
agmarknet.gov.in,Agriculture Marketing Information System Network (AGMARKNET)
agmegh.cag.gov.in,"Accountant General, Meghalaya"
agmp.cag.gov.in,"Accountant General, Madhya Pradesh"
agmpr.cag.gov.in,"Accountant General, Manipur"
agnii.gov.in,AGNIi - Accelerating Growth of New India’s Innovations
agnl.cag.gov.in,"Accountant General, Nagaland"
agodi.cag.gov.in,"Accountant General, Odisha"
agodisha.gov.in,"Accountants General, Odisha"
agpunjab.gov.in,"Accountant General, Punjab and Chandigarh (UT)"
agraj.cag.gov.in,"Accountant General, Rajasthan"
