Domain_Name,Organization_Name
esicorissa.nic.in,"Employees State Insurance Corporation (ESIC), Odisha"
esicpondicherry.com,"Employees State Insurance Corporation (ESIC), Puducherry"
esicpune.in,"Employees State Insurance Corporation (ESIC), Sub Regional Office (SRO), Pune"
esicvijayawada.gov.in,"Employee's State Insurance Corporation (ESIC), Sub-Regional Office, Vijayawada"
esihospital.org,"Employees State Insurance Model Hospital - Basai Darapur, New delhi"
esipgimsrandherimumbai.gov.in,"Employees State Insurance Corporation (ESI) - Post Graduate Institute of Medical Science and Research, Andheri"
estates.gov.in,"Directorate of Estates, Ministry of Urban Development"
esuvidha.gov.in,eSuvidha - Online Projects Management System (ePMS)
etaal.gov.in,eTaal - Electronic Transaction Aggregation and Analysis Layer
etp.bsnl.co.in,Eastern Telecom Project Circle
etr.bsnl.co.in,Eastern Telecom Region
etrade.gov.in,EC/EDI for Trade in India
etraveltradeapproval.nic.in,"E-Recognition System for Travel Trade, Ministry of Tourism"
ewaybillgst.gov.in,e-Way Bill System - One Nation One e-Way Bill for movement of Goods throughout the Country
excisenashik.gov.in,"Central Excise and Customs, Nashik Commissionerate, Maharashtra"
excisesalem.tn.nic.in,"Central Excise Commissionerate, Salem"
excisevadodara2.nic.in,"Commissionerate of Central Excise and Customs, Vadodara - II"
fact.co.in,The Fertilizers and Chemicals Travancore Limited (FACT)
fagmil.nic.in,FCI Aravali Gypsum and Minerals India Limited (FAGMIL)
fame-india.gov.in,"FAME-India: National Mission on Electric Mobility, National Automotive Board (NAB)"
farmech.dac.gov.in,National Portal on Mechanization and Technology
farmer.gov.in,Farmers Portal - One Stop Shop For Farmers
faunaofindia.nic.in,Digital Archive of Publication of Zoological Survey of India (ZSI)
fbp.gov.in,"Farakka Barrage Project (FBP) - Ministry of Water Resources, River Development & Ganga Rejuvenation"
fcamin.nic.in,"Ministry of Consumer Affairs, Food and Public Distribution"
fci.gov.in,Food Corporation of India (FCI)
fciajmer.com,"Food Craft Institute, Ajmer, Rajasthan"
fcikerala.org,"Food Craft institute, Kerala"
fcraonline.gov.in,FCRA (Foreign Contribution Regulation Act) Online Services
fcriindia.com,"Fluid Control Research Institute (FCRI), Palakkad"
fddiindia.com,Footwear Design and Development Institute (FDDI)
fert.nic.in,Department of Fertilizers
fertcorpindia.nic.in,Fertilizer Corporation of India Limited (FCIL)
ffconline.gov.in,Allocation and Release of Grants to Rural Local Bodies by Fourteenth Finance Commission (FFC)
ffdcindia.org,"Fragrance and Flavour Development Centre (FFDC), Uttar Pradesh"
ffo.gov.in,"Film Facilitation Office (FFO), National Film Development Corporation"
fhel.co.in,"Fresh and Health Enterprise Limited (FHER), Container Corporation of India Limited (CONCOR), Haryana"
fieldgunindia.gov.in,"Field Gun Factory, Kanpur"
fifp.gov.in,Foreign Investment Facilitation Portal (FIFP) by Department of Industrial Policy and Promotion (DIPP)
filmsdivision.org,"Films Division , Ministry of Information and Broadcasting"
financialservices.gov.in,Department of Financial Services
fincomindia.nic.in,Fifteenth Finance Commission of India
finmin.nic.in,Ministry of Finance
fist-dst.org,Fund for Improvement of S and  T Infrastructure in Higher Educational Institutions
fiuindia.gov.in,Financial Intelligence Unit India (FIU-IND)
fms.edu,"Faculty of Management Studies, University of Delhi"
fmttibudni.gov.in,"Central Farm Machinery Training and Testing Institute, Budni"
focusafrica.gov.in,"Focus Africa Programme, Department of Commerce"
foodcraftinstituteudaipur.com,"Food Craft institute, Udaipur"
foodlicensing.fssai.gov.in,Food Licensing and Registration System of Food Safety and Standards Authority of India (FSSAI)
forest.and.nic.in,Andaman and Nicobar Islands Forest and Plantation Development Corporation Limited
forestrights.nic.in,Scheduled Tribes and Other Traditional Forest Dwellers
forumofregulators.gov.in,Forum of Regulators
fri.icfre.gov.in,"Forest Research Institute (FRI), ICFRE, Dehradun"
frienvis.nic.in,"ENVIS Centre on Forestry, Forest Research Institute, ICFRE, Dehradun"
